Cancer group/site,Year,Sex,Age group (years),Age Group,Count,"Age-specific rate
(per 100,000)"
string,number,number,string,string,number,number
Non-melanoma skin cancer (rare types),2015,Males,85?89,85 - 89,89,74.6
Non-melanoma skin cancer (rare types),2015,Males,90+,44690,41,78
Non-melanoma skin cancer (rare types),2015,Males,All ages combined,44690,597,5
Non-melanoma skin cancer (rare types),2016,Males,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2016,Males,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2016,Males,10?14,44848,1,0.1
Non-melanoma skin cancer (rare types),2016,Males,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2016,Males,20?24,44690,0,0
Non-melanoma skin cancer (rare types),2016,Males,25?29,25 - 29,2,0.2
Non-melanoma skin cancer (rare types),2016,Males,30?34,44690,0,0
Non-melanoma skin cancer (rare types),2016,Males,35?39,35 - 39,3,0.4
Non-melanoma skin cancer (rare types),2016,Males,40?44,40 - 44,9,1.1
Non-melanoma skin cancer (rare types),2016,Males,45?49,45 - 49,10,1.3
Non-melanoma skin cancer (rare types),2016,Males,50?54,50 - 54,16,2.1
Non-melanoma skin cancer (rare types),2016,Males,55?59,55 - 59,34,4.7
Non-melanoma skin cancer (rare types),2016,Males,60?64,60 - 64,42,6.6
Non-melanoma skin cancer (rare types),2016,Males,65?69,65 - 69,70,11.9
Non-melanoma skin cancer (rare types),2016,Males,70?74,70 - 74,81,18.5
Non-melanoma skin cancer (rare types),2016,Males,75?79,75 - 79,106,34.4
Non-melanoma skin cancer (rare types),2016,Males,80?84,80 - 84,107,52.8
Non-melanoma skin cancer (rare types),2016,Males,85?89,44690,93,76
Non-melanoma skin cancer (rare types),2016,Males,90+,90 - 90+,61,107.4
Non-melanoma skin cancer (rare types),2016,Males,All ages combined,All - combined,635,5.3
Non-melanoma skin cancer (rare types),2017,Males,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2017,Males,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2017,Males,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2017,Males,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2017,Males,20?24,20 - 24,2,0.2
Non-melanoma skin cancer (rare types),2017,Males,25?29,25 - 29,1,0.1
Non-melanoma skin cancer (rare types),2017,Males,30?34,30 - 34,3,0.3
Non-melanoma skin cancer (rare types),2017,Males,35?39,35 - 39,3,0.4
Non-melanoma skin cancer (rare types),2017,Males,40?44,40 - 44,9,1.1
Non-melanoma skin cancer (rare types),2017,Males,45?49,45 - 49,14,1.7
Non-melanoma skin cancer (rare types),2017,Males,50?54,50 - 54,18,2.4
Non-melanoma skin cancer (rare types),2017,Males,55?59,55 - 59,29,3.9
Non-melanoma skin cancer (rare types),2017,Males,60?64,60 - 64,57,8.8
Non-melanoma skin cancer (rare types),2017,Males,65?69,44690,88,15
Non-melanoma skin cancer (rare types),2017,Males,70?74,70 - 74,115,24.4
Non-melanoma skin cancer (rare types),2017,Males,75?79,75 - 79,114,35.4
Non-melanoma skin cancer (rare types),2017,Males,80?84,80 - 84,124,59.1
Non-melanoma skin cancer (rare types),2017,Males,85?89,85 - 89,90,72.1
Non-melanoma skin cancer (rare types),2017,Males,90+,90 - 90+,66,109.5
Non-melanoma skin cancer (rare types),2017,Males,All ages combined,44690,733,6
Non-melanoma skin cancer (rare types),2018,Males,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2018,Males,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2018,Males,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2018,Males,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2018,Males,20?24,20 - 24,2,0.2
Non-melanoma skin cancer (rare types),2018,Males,25?29,25 - 29,1,0.1
Non-melanoma skin cancer (rare types),2018,Males,30?34,30 - 34,3,0.3
Non-melanoma skin cancer (rare types),2018,Males,35?39,35 - 39,8,0.9
Non-melanoma skin cancer (rare types),2018,Males,40?44,40 - 44,6,0.8
Non-melanoma skin cancer (rare types),2018,Males,45?49,45 - 49,9,1.1
Non-melanoma skin cancer (rare types),2018,Males,50?54,50 - 54,14,1.9
Non-melanoma skin cancer (rare types),2018,Males,55?59,55 - 59,28,3.7
Non-melanoma skin cancer (rare types),2018,Males,60?64,60 - 64,34,5.1
Non-melanoma skin cancer (rare types),2018,Males,65?69,65 - 69,55,9.3
Non-melanoma skin cancer (rare types),2018,Males,70?74,70 - 74,106,21.2
Non-melanoma skin cancer (rare types),2018,Males,75?79,75 - 79,103,30.9
Non-melanoma skin cancer (rare types),2018,Males,80?84,80 - 84,105,48.1
Non-melanoma skin cancer (rare types),2018,Males,85?89,85 - 89,102,80.7
Non-melanoma skin cancer (rare types),2018,Males,90+,90 - 90+,67,104.4
Non-melanoma skin cancer (rare types),2018,Males,All ages combined,All - combined,642,5.2
Non-melanoma skin cancer (rare types),2019,Males,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2019,Males,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2019,Males,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2019,Males,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2019,Males,20?24,20 - 24,2,0.2
Non-melanoma skin cancer (rare types),2019,Males,25?29,25 - 29,2,0.2
Non-melanoma skin cancer (rare types),2019,Males,30?34,30 - 34,3,0.3
Non-melanoma skin cancer (rare types),2019,Males,35?39,35 - 39,6,0.7
Non-melanoma skin cancer (rare types),2019,Males,40?44,44690,8,1
Non-melanoma skin cancer (rare types),2019,Males,45?49,45 - 49,13,1.6
Non-melanoma skin cancer (rare types),2019,Males,50?54,50 - 54,18,2.4
Non-melanoma skin cancer (rare types),2019,Males,55?59,55 - 59,36,4.7
Non-melanoma skin cancer (rare types),2019,Males,60?64,60 - 64,48,7.1
Non-melanoma skin cancer (rare types),2019,Males,65?69,65 - 69,72,12.1
Non-melanoma skin cancer (rare types),2019,Males,70?74,70 - 74,112,21.6
Non-melanoma skin cancer (rare types),2019,Males,75?79,75 - 79,122,34.7
Non-melanoma skin cancer (rare types),2019,Males,80?84,44690,123,54
Non-melanoma skin cancer (rare types),2019,Males,85?89,85 - 89,104,80.5
Non-melanoma skin cancer (rare types),2019,Males,90+,90 - 90+,79,116.4
Non-melanoma skin cancer (rare types),2019,Males,All ages combined,All - combined,748,5.9
Non-melanoma skin cancer (rare types),2020,Males,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2020,Males,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2020,Males,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2020,Males,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2020,Males,20?24,20 - 24,2,0.2
Non-melanoma skin cancer (rare types),2020,Males,25?29,25 - 29,2,0.2
Non-melanoma skin cancer (rare types),2020,Males,30?34,30 - 34,3,0.3
Non-melanoma skin cancer (rare types),2020,Males,35?39,35 - 39,6,0.7
Non-melanoma skin cancer (rare types),2020,Males,40?44,44690,8,1
Non-melanoma skin cancer (rare types),2020,Males,45?49,45 - 49,13,1.6
Non-melanoma skin cancer (rare types),2020,Males,50?54,50 - 54,19,2.5
Non-melanoma skin cancer (rare types),2020,Males,55?59,55 - 59,37,4.9
Non-melanoma skin cancer (rare types),2020,Males,60?64,44690,49,7
Non-melanoma skin cancer (rare types),2020,Males,65?69,65 - 69,74,12.1
Non-melanoma skin cancer (rare types),2020,Males,70?74,44690,119,22
Non-melanoma skin cancer (rare types),2020,Males,75?79,75 - 79,131,35.3
Non-melanoma skin cancer (rare types),2020,Males,80?84,44690,132,55
Non-melanoma skin cancer (rare types),2020,Males,85?89,85 - 89,110,83.4
Non-melanoma skin cancer (rare types),2020,Males,90+,90 - 90+,88,121.3
Non-melanoma skin cancer (rare types),2020,Males,All ages combined,All - combined,793,6.2
Non-melanoma skin cancer (rare types),2021,Males,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2021,Males,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2021,Males,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2021,Males,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2021,Males,20?24,20 - 24,2,0.2
Non-melanoma skin cancer (rare types),2021,Males,25?29,25 - 29,2,0.2
Non-melanoma skin cancer (rare types),2021,Males,30?34,30 - 34,3,0.3
Non-melanoma skin cancer (rare types),2021,Males,35?39,35 - 39,6,0.7
Non-melanoma skin cancer (rare types),2021,Males,40?44,44690,8,1
Non-melanoma skin cancer (rare types),2021,Males,45?49,45 - 49,13,1.6
Non-melanoma skin cancer (rare types),2021,Males,50?54,50 - 54,20,2.6
Non-melanoma skin cancer (rare types),2021,Males,55?59,55 - 59,38,5.1
Non-melanoma skin cancer (rare types),2021,Males,60?64,60 - 64,50,7.1
Non-melanoma skin cancer (rare types),2021,Males,65?69,65 - 69,76,12.3
Non-melanoma skin cancer (rare types),2021,Males,70?74,70 - 74,124,22.4
Non-melanoma skin cancer (rare types),2021,Males,75?79,75 - 79,140,35.8
Non-melanoma skin cancer (rare types),2021,Males,80?84,80 - 84,140,55.8
Non-melanoma skin cancer (rare types),2021,Males,85?89,85 - 89,117,85.6
Non-melanoma skin cancer (rare types),2021,Males,90+,90 - 90+,100,128.6
Non-melanoma skin cancer (rare types),2021,Males,All ages combined,All - combined,839,6.6
Non-melanoma skin cancer (rare types),2022,Males,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2022,Males,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2022,Males,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2022,Males,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2022,Males,20?24,20 - 24,2,0.2
Non-melanoma skin cancer (rare types),2022,Males,25?29,25 - 29,2,0.2
Non-melanoma skin cancer (rare types),2022,Males,30?34,30 - 34,3,0.3
Non-melanoma skin cancer (rare types),2022,Males,35?39,35 - 39,6,0.6
Non-melanoma skin cancer (rare types),2022,Males,40?44,40 - 44,9,1.1
Non-melanoma skin cancer (rare types),2022,Males,45?49,45 - 49,13,1.6
Non-melanoma skin cancer (rare types),2022,Males,50?54,50 - 54,20,2.5
Non-melanoma skin cancer (rare types),2022,Males,55?59,55 - 59,38,5.1
Non-melanoma skin cancer (rare types),2022,Males,60?64,60 - 64,51,7.1
Non-melanoma skin cancer (rare types),2022,Males,65?69,65 - 69,78,12.4
Non-melanoma skin cancer (rare types),2022,Males,70?74,70 - 74,125,22.6
Non-melanoma skin cancer (rare types),2022,Males,75?79,75 - 79,153,36.3
Non-melanoma skin cancer (rare types),2022,Males,80?84,80 - 84,149,56.8
Non-melanoma skin cancer (rare types),2022,Males,85?89,85 - 89,126,88.5
Non-melanoma skin cancer (rare types),2022,Males,90+,90 - 90+,104,134.4
Non-melanoma skin cancer (rare types),2022,Males,All ages combined,All - combined,879,6.8
Non-melanoma skin cancer (rare types),2002,Females,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2002,Females,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2002,Females,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2002,Females,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2002,Females,20?24,20 - 24,1,0.2
Non-melanoma skin cancer (rare types),2002,Females,25?29,25 - 29,2,0.3
Non-melanoma skin cancer (rare types),2002,Females,30?34,30 - 34,1,0.1
Non-melanoma skin cancer (rare types),2002,Females,35?39,44690,0,0
Non-melanoma skin cancer (rare types),2002,Females,40?44,40 - 44,3,0.4
Non-melanoma skin cancer (rare types),2002,Females,45?49,45 - 49,9,1.3
Non-melanoma skin cancer (rare types),2002,Females,50?54,50 - 54,8,1.2
Non-melanoma skin cancer (rare types),2002,Females,55?59,55 - 59,9,1.7
Non-melanoma skin cancer (rare types),2002,Females,60?64,60 - 64,20,4.8
Non-melanoma skin cancer (rare types),2002,Females,65?69,65 - 69,20,5.7
Non-melanoma skin cancer (rare types),2002,Females,70?74,70 - 74,17,5.2
Non-melanoma skin cancer (rare types),2002,Females,75?79,75 - 79,30,10.3
Non-melanoma skin cancer (rare types),2002,Females,80?84,80 - 84,32,15.3
Non-melanoma skin cancer (rare types),2002,Females,85?89,85 - 89,29,23.6
Non-melanoma skin cancer (rare types),2002,Females,90+,90 - 90+,12,18.5
Non-melanoma skin cancer (rare types),2002,Females,All ages combined,44690,193,2
Non-melanoma skin cancer (rare types),2003,Females,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2003,Females,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2003,Females,10?14,44848,1,0.1
Non-melanoma skin cancer (rare types),2003,Females,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2003,Females,20?24,20 - 24,2,0.3
Non-melanoma skin cancer (rare types),2003,Females,25?29,25 - 29,1,0.1
Non-melanoma skin cancer (rare types),2003,Females,30?34,30 - 34,3,0.4
Non-melanoma skin cancer (rare types),2003,Females,35?39,35 - 39,2,0.3
Non-melanoma skin cancer (rare types),2003,Females,40?44,40 - 44,5,0.7
Non-melanoma skin cancer (rare types),2003,Females,45?49,45 - 49,6,0.9
Non-melanoma skin cancer (rare types),2003,Females,50?54,50 - 54,11,1.7
Non-melanoma skin cancer (rare types),2003,Females,55?59,55 - 59,11,1.9
Non-melanoma skin cancer (rare types),2003,Females,60?64,60 - 64,11,2.6
Non-melanoma skin cancer (rare types),2003,Females,65?69,44690,11,3
Non-melanoma skin cancer (rare types),2003,Females,70?74,70 - 74,27,8.3
Non-melanoma skin cancer (rare types),2003,Females,75?79,75 - 79,39,13.2
Non-melanoma skin cancer (rare types),2003,Females,80?84,80 - 84,34,15.5
Non-melanoma skin cancer (rare types),2003,Females,85?89,85 - 89,36,28.9
Non-melanoma skin cancer (rare types),2003,Females,90+,90 - 90+,14,20.7
Non-melanoma skin cancer (rare types),2003,Females,All ages combined,All - combined,214,2.2
Non-melanoma skin cancer (rare types),2004,Females,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2004,Females,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2004,Females,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2004,Females,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2004,Females,20?24,44690,0,0
Non-melanoma skin cancer (rare types),2004,Females,25?29,25 - 29,1,0.1
Non-melanoma skin cancer (rare types),2004,Females,30?34,30 - 34,2,0.3
Non-melanoma skin cancer (rare types),2004,Females,35?39,35 - 39,2,0.3
Non-melanoma skin cancer (rare types),2004,Females,40?44,40 - 44,4,0.5
Non-melanoma skin cancer (rare types),2004,Females,45?49,45 - 49,2,0.3
Non-melanoma skin cancer (rare types),2004,Females,50?54,50 - 54,10,1.5
Non-melanoma skin cancer (rare types),2004,Females,55?59,55 - 59,9,1.5
Non-melanoma skin cancer (rare types),2004,Females,60?64,60 - 64,7,1.6
Non-melanoma skin cancer (rare types),2004,Females,65?69,44690,11,3
Non-melanoma skin cancer (rare types),2004,Females,70?74,70 - 74,22,6.8
Non-melanoma skin cancer (rare types),2004,Females,75?79,75 - 79,31,10.5
Non-melanoma skin cancer (rare types),2004,Females,80?84,80 - 84,44,19.3
Non-melanoma skin cancer (rare types),2004,Females,85?89,85 - 89,30,23.9
Non-melanoma skin cancer (rare types),2004,Females,90+,90 - 90+,21,29.6
Non-melanoma skin cancer (rare types),2004,Females,All ages combined,44690,196,2
Non-melanoma skin cancer (rare types),2005,Females,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2005,Females,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2005,Females,10?14,44848,1,0.1
Non-melanoma skin cancer (rare types),2005,Females,15?19,15 - 19,1,0.1
Non-melanoma skin cancer (rare types),2005,Females,20?24,20 - 24,1,0.1
Non-melanoma skin cancer (rare types),2005,Females,25?29,25 - 29,2,0.3
Non-melanoma skin cancer (rare types),2005,Females,30?34,30 - 34,1,0.1
Non-melanoma skin cancer (rare types),2005,Females,35?39,35 - 39,5,0.7
Non-melanoma skin cancer (rare types),2005,Females,40?44,40 - 44,6,0.8
Non-melanoma skin cancer (rare types),2005,Females,45?49,45 - 49,6,0.8
Non-melanoma skin cancer (rare types),2005,Females,50?54,50 - 54,4,0.6
Non-melanoma skin cancer (rare types),2005,Females,55?59,44690,6,1
Non-melanoma skin cancer (rare types),2005,Females,60?64,60 - 64,13,2.8
Non-melanoma skin cancer (rare types),2005,Females,65?69,65 - 69,14,3.7
Non-melanoma skin cancer (rare types),2005,Females,70?74,70 - 74,26,8.1
Non-melanoma skin cancer (rare types),2005,Females,75?79,75 - 79,40,13.5
Non-melanoma skin cancer (rare types),2005,Females,80?84,44690,42,18
Non-melanoma skin cancer (rare types),2005,Females,85?89,85 - 89,32,24.5
Non-melanoma skin cancer (rare types),2005,Females,90+,90 - 90+,17,22.6
Non-melanoma skin cancer (rare types),2005,Females,All ages combined,All - combined,217,2.1
Non-melanoma skin cancer (rare types),2006,Females,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2006,Females,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2006,Females,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2006,Females,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2006,Females,20?24,20 - 24,1,0.1
Non-melanoma skin cancer (rare types),2006,Females,25?29,25 - 29,2,0.3
Non-melanoma skin cancer (rare types),2006,Females,30?34,30 - 34,2,0.3
Non-melanoma skin cancer (rare types),2006,Females,35?39,35 - 39,4,0.5
Non-melanoma skin cancer (rare types),2006,Females,40?44,40 - 44,7,0.9
Non-melanoma skin cancer (rare types),2006,Females,45?49,45 - 49,5,0.7
Non-melanoma skin cancer (rare types),2006,Females,50?54,50 - 54,13,1.9
Non-melanoma skin cancer (rare types),2006,Females,55?59,55 - 59,10,1.6
Non-melanoma skin cancer (rare types),2006,Females,60?64,60 - 64,17,3.5
Non-melanoma skin cancer (rare types),2006,Females,65?69,65 - 69,15,3.8
Non-melanoma skin cancer (rare types),2006,Females,70?74,70 - 74,24,7.4
Non-melanoma skin cancer (rare types),2006,Females,75?79,75 - 79,31,10.4
Non-melanoma skin cancer (rare types),2006,Females,80?84,80 - 84,40,16.9
Non-melanoma skin cancer (rare types),2006,Females,85?89,85 - 89,38,27.6
Non-melanoma skin cancer (rare types),2006,Females,90+,90 - 90+,25,32.1
Non-melanoma skin cancer (rare types),2006,Females,All ages combined,All - combined,234,2.3
Non-melanoma skin cancer (rare types),2007,Females,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2007,Females,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2007,Females,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2007,Females,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2007,Females,20?24,44690,0,0
Non-melanoma skin cancer (rare types),2007,Females,25?29,25 - 29,2,0.3
Non-melanoma skin cancer (rare types),2007,Females,30?34,30 - 34,1,0.1
Non-melanoma skin cancer (rare types),2007,Females,35?39,35 - 39,4,0.5
Non-melanoma skin cancer (rare types),2007,Females,40?44,40 - 44,5,0.7
Non-melanoma skin cancer (rare types),2007,Females,45?49,45 - 49,6,0.8
Non-melanoma skin cancer (rare types),2007,Females,50?54,50 - 54,10,1.4
Non-melanoma skin cancer (rare types),2007,Females,55?59,55 - 59,14,2.2
Non-melanoma skin cancer (rare types),2007,Females,60?64,60 - 64,18,3.4
Non-melanoma skin cancer (rare types),2007,Females,65?69,65 - 69,13,3.2
Non-melanoma skin cancer (rare types),2007,Females,70?74,70 - 74,29,8.7
Non-melanoma skin cancer (rare types),2007,Females,75?79,75 - 79,33,11.1
Non-melanoma skin cancer (rare types),2007,Females,80?84,80 - 84,38,15.8
Non-melanoma skin cancer (rare types),2007,Females,85?89,85 - 89,40,27.5
Non-melanoma skin cancer (rare types),2007,Females,90+,90 - 90+,30,37.2
Non-melanoma skin cancer (rare types),2007,Females,All ages combined,All - combined,243,2.3
Non-melanoma skin cancer (rare types),2008,Females,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2008,Females,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2008,Females,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2008,Females,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2008,Females,20?24,20 - 24,1,0.1
Non-melanoma skin cancer (rare types),2008,Females,25?29,44690,0,0
Non-melanoma skin cancer (rare types),2008,Females,30?34,30 - 34,1,0.1
Non-melanoma skin cancer (rare types),2008,Females,35?39,35 - 39,4,0.5
Non-melanoma skin cancer (rare types),2008,Females,40?44,40 - 44,2,0.3
Non-melanoma skin cancer (rare types),2008,Females,45?49,45 - 49,6,0.8
Non-melanoma skin cancer (rare types),2008,Females,50?54,44690,7,1
Non-melanoma skin cancer (rare types),2008,Females,55?59,55 - 59,7,1.1
Non-melanoma skin cancer (rare types),2008,Females,60?64,44690,11,2
Non-melanoma skin cancer (rare types),2008,Females,65?69,44690,29,7
Non-melanoma skin cancer (rare types),2008,Females,70?74,70 - 74,24,7.1
Non-melanoma skin cancer (rare types),2008,Females,75?79,75 - 79,34,11.5
Non-melanoma skin cancer (rare types),2008,Females,80?84,80 - 84,43,17.6
Non-melanoma skin cancer (rare types),2008,Females,85?89,85 - 89,44,28.7
Non-melanoma skin cancer (rare types),2008,Females,90+,90 - 90+,28,34.1
Non-melanoma skin cancer (rare types),2008,Females,All ages combined,All - combined,241,2.3
Non-melanoma skin cancer (rare types),2009,Females,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2009,Females,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2009,Females,10?14,44848,1,0.1
Non-melanoma skin cancer (rare types),2009,Females,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2009,Females,20?24,20 - 24,1,0.1
Non-melanoma skin cancer (rare types),2009,Females,25?29,25 - 29,1,0.1
Non-melanoma skin cancer (rare types),2009,Females,30?34,30 - 34,3,0.4
Non-melanoma skin cancer (rare types),2009,Females,35?39,35 - 39,4,0.5
Non-melanoma skin cancer (rare types),2009,Females,40?44,40 - 44,2,0.3
Non-melanoma skin cancer (rare types),2009,Females,45?49,45 - 49,4,0.5
Non-melanoma skin cancer (rare types),2009,Females,50?54,50 - 54,5,0.7
Non-melanoma skin cancer (rare types),2009,Females,55?59,55 - 59,15,2.3
Non-melanoma skin cancer (rare types),2009,Females,60?64,60 - 64,8,1.4
Non-melanoma skin cancer (rare types),2009,Females,65?69,65 - 69,21,4.8
Non-melanoma skin cancer (rare types),2009,Females,70?74,70 - 74,26,7.4
Non-melanoma skin cancer (rare types),2009,Females,75?79,75 - 79,32,10.8
Non-melanoma skin cancer (rare types),2009,Females,80?84,80 - 84,49,19.8
Non-melanoma skin cancer (rare types),2009,Females,85?89,85 - 89,52,32.4
Non-melanoma skin cancer (rare types),2009,Females,90+,90 - 90+,24,28.7
Non-melanoma skin cancer (rare types),2009,Females,All ages combined,All - combined,248,2.3
Non-melanoma skin cancer (rare types),2010,Females,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2010,Females,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2010,Females,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2010,Females,15?19,15 - 19,1,0.1
Non-melanoma skin cancer (rare types),2010,Females,20?24,20 - 24,1,0.1
Non-melanoma skin cancer (rare types),2010,Females,25?29,25 - 29,3,0.4
Non-melanoma skin cancer (rare types),2010,Females,30?34,30 - 34,2,0.3
Non-melanoma skin cancer (rare types),2010,Females,35?39,35 - 39,4,0.5
Non-melanoma skin cancer (rare types),2010,Females,40?44,40 - 44,3,0.4
Non-melanoma skin cancer (rare types),2010,Females,45?49,45 - 49,10,1.3
Non-melanoma skin cancer (rare types),2010,Females,50?54,50 - 54,10,1.4
Non-melanoma skin cancer (rare types),2010,Females,55?59,55 - 59,11,1.7
Non-melanoma skin cancer (rare types),2010,Females,60?64,60 - 64,14,2.3
Non-melanoma skin cancer (rare types),2010,Females,65?69,65 - 69,19,4.2
Non-melanoma skin cancer (rare types),2010,Females,70?74,70 - 74,25,6.9
Non-melanoma skin cancer (rare types),2010,Females,75?79,75 - 79,34,11.5
Non-melanoma skin cancer (rare types),2010,Females,80?84,80 - 84,50,19.9
Non-melanoma skin cancer (rare types),2010,Females,85?89,44690,45,27
Non-melanoma skin cancer (rare types),2010,Females,90+,90 - 90+,33,37.5
Non-melanoma skin cancer (rare types),2010,Females,All ages combined,All - combined,265,2.4
Non-melanoma skin cancer (rare types),2011,Females,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2011,Females,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2011,Females,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2011,Females,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2011,Females,20?24,44690,0,0
Non-melanoma skin cancer (rare types),2011,Females,25?29,44690,0,0
Non-melanoma skin cancer (rare types),2011,Females,30?34,30 - 34,2,0.3
Non-melanoma skin cancer (rare types),2011,Females,35?39,35 - 39,1,0.1
Non-melanoma skin cancer (rare types),2011,Females,40?44,40 - 44,4,0.5
Non-melanoma skin cancer (rare types),2011,Females,45?49,45 - 49,2,0.3
Non-melanoma skin cancer (rare types),2011,Females,50?54,50 - 54,8,1.1
Non-melanoma skin cancer (rare types),2011,Females,55?59,55 - 59,15,2.2
Non-melanoma skin cancer (rare types),2011,Females,60?64,60 - 64,22,3.6
Non-melanoma skin cancer (rare types),2011,Females,65?69,65 - 69,13,2.7
Non-melanoma skin cancer (rare types),2011,Females,70?74,70 - 74,39,10.5
Non-melanoma skin cancer (rare types),2011,Females,75?79,44690,30,10
Non-melanoma skin cancer (rare types),2011,Females,80?84,44690,43,17
Non-melanoma skin cancer (rare types),2011,Females,85?89,85 - 89,34,19.8
Non-melanoma skin cancer (rare types),2011,Females,90+,90 - 90+,26,27.9
Non-melanoma skin cancer (rare types),2011,Females,All ages combined,All - combined,239,2.1
Non-melanoma skin cancer (rare types),2012,Females,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2012,Females,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2012,Females,10?14,44848,1,0.1
Non-melanoma skin cancer (rare types),2012,Females,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2012,Females,20?24,20 - 24,1,0.1
Non-melanoma skin cancer (rare types),2012,Females,25?29,25 - 29,1,0.1
Non-melanoma skin cancer (rare types),2012,Females,30?34,44690,0,0
Non-melanoma skin cancer (rare types),2012,Females,35?39,35 - 39,1,0.1
Non-melanoma skin cancer (rare types),2012,Females,40?44,40 - 44,2,0.2
Non-melanoma skin cancer (rare types),2012,Females,45?49,45 - 49,9,1.2
Non-melanoma skin cancer (rare types),2012,Females,50?54,50 - 54,9,1.2
Non-melanoma skin cancer (rare types),2012,Females,55?59,55 - 59,16,2.3
Non-melanoma skin cancer (rare types),2012,Females,60?64,60 - 64,19,3.1
Non-melanoma skin cancer (rare types),2012,Females,65?69,65 - 69,21,4.1
Non-melanoma skin cancer (rare types),2012,Females,70?74,70 - 74,33,8.6
Non-melanoma skin cancer (rare types),2012,Females,75?79,75 - 79,30,9.8
Non-melanoma skin cancer (rare types),2012,Females,80?84,80 - 84,55,21.8
Non-melanoma skin cancer (rare types),2012,Females,85?89,85 - 89,52,29.8
Non-melanoma skin cancer (rare types),2012,Females,90+,90 - 90+,36,36.4
Non-melanoma skin cancer (rare types),2012,Females,All ages combined,All - combined,286,2.5
Non-melanoma skin cancer (rare types),2013,Females,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2013,Females,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2013,Females,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2013,Females,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2013,Females,20?24,20 - 24,1,0.1
Non-melanoma skin cancer (rare types),2013,Females,25?29,44690,0,0
Non-melanoma skin cancer (rare types),2013,Females,30?34,30 - 34,1,0.1
